filepath,split
./DevSet/MovingMotorVehicle/345.wav,train
./DevSet/MovingMotorVehicle/557.wav,train
./DevSet/MovingMotorVehicle/136.wav,train
./DevSet/MovingMotorVehicle/348.wav,train
./DevSet/MovingMotorVehicle/410.wav,train
./DevSet/MovingMotorVehicle/622.wav,train
./DevSet/MovingMotorVehicle/091.wav,train
./DevSet/MovingMotorVehicle/139.wav,train
./DevSet/MovingMotorVehicle/201.wav,train
./DevSet/MovingMotorVehicle/413.wav,train
./DevSet/MovingMotorVehicle/094.wav,train
./DevSet/MovingMotorVehicle/204.wav,train
./DevSet/MovingMotorVehicle/619.wav,train
./DevSet/MovingMotorVehicle/580.wav,train
./DevSet/MovingMotorVehicle/097.wav,train
./DevSet/MovingMotorVehicle/574.wav,train
./DevSet/MovingMotorVehicle/371.wav,train
./DevSet/MovingMotorVehicle/365.wav,train
./DevSet/MovingMotorVehicle/162.wav,train
./DevSet/MovingMotorVehicle/577.wav,test
./DevSet/MovingMotorVehicle/156.wav,train
./DevSet/MovingMotorVehicle/368.wav,train
./DevSet/MovingMotorVehicle/430.wav,train
./DevSet/MovingMotorVehicle/642.wav,train
./DevSet/MovingMotorVehicle/159.wav,train
./DevSet/MovingMotorVehicle/221.wav,validation
./DevSet/MovingMotorVehicle/433.wav,validation
./DevSet/MovingMotorVehicle/645.wav,train
./DevSet/MovingMotorVehicle/012.wav,train
./DevSet/MovingMotorVehicle/224.wav,train
./DevSet/MovingMotorVehicle/639.wav,train
./DevSet/MovingMotorVehicle/436.wav,train
./DevSet/MovingMotorVehicle/015.wav,train
./DevSet/MovingMotorVehicle/391.wav,train
./DevSet/MovingMotorVehicle/227.wav,train
./DevSet/MovingMotorVehicle/182.wav,train
./DevSet/MovingMotorVehicle/018.wav,train
./DevSet/MovingMotorVehicle/597.wav,train
./DevSet/MovingMotorVehicle/388.wav,train
./DevSet/MovingMotorVehicle/450.wav,train
./DevSet/MovingMotorVehicle/662.wav,validation
./DevSet/MovingMotorVehicle/179.wav,train
./DevSet/MovingMotorVehicle/241.wav,train
./DevSet/MovingMotorVehicle/453.wav,validation
./DevSet/MovingMotorVehicle/665.wav,test
./DevSet/MovingMotorVehicle/032.wav,train
./DevSet/MovingMotorVehicle/244.wav,train
./DevSet/MovingMotorVehicle/456.wav,train
./DevSet/MovingMotorVehicle/035.wav,train
./DevSet/MovingMotorVehicle/247.wav,test
./DevSet/MovingMotorVehicle/038.wav,train
./DevSet/MovingMotorVehicle/100.wav,train
./DevSet/MovingMotorVehicle/515.wav,train
./DevSet/MovingMotorVehicle/470.wav,train
./DevSet/MovingMotorVehicle/306.wav,train
./DevSet/MovingMotorVehicle/518.wav,train
./DevSet/MovingMotorVehicle/199.wav,validation
./DevSet/MovingMotorVehicle/261.wav,train
./DevSet/MovingMotorVehicle/473.wav,train
./DevSet/MovingMotorVehicle/309.wav,train
./DevSet/MovingMotorVehicle/052.wav,train
./DevSet/MovingMotorVehicle/264.wav,test
./DevSet/MovingMotorVehicle/476.wav,train
./DevSet/MovingMotorVehicle/055.wav,train
./DevSet/MovingMotorVehicle/267.wav,train
./DevSet/MovingMotorVehicle/541.wav,train
./DevSet/MovingMotorVehicle/058.wav,train
./DevSet/MovingMotorVehicle/120.wav,train
./DevSet/MovingMotorVehicle/535.wav,train
./DevSet/MovingMotorVehicle/332.wav,train
./DevSet/MovingMotorVehicle/326.wav,train
./DevSet/MovingMotorVehicle/123.wav,train
./DevSet/MovingMotorVehicle/538.wav,train
./DevSet/MovingMotorVehicle/600.wav,train
./DevSet/MovingMotorVehicle/117.wav,train
./DevSet/MovingMotorVehicle/493.wav,train
./DevSet/MovingMotorVehicle/329.wav,train
./DevSet/MovingMotorVehicle/603.wav,train
./DevSet/MovingMotorVehicle/284.wav,train
./DevSet/MovingMotorVehicle/496.wav,validation
./DevSet/MovingMotorVehicle/606.wav,train
./DevSet/MovingMotorVehicle/075.wav,train
./DevSet/MovingMotorVehicle/287.wav,test
./DevSet/MovingMotorVehicle/499.wav,train
./DevSet/MovingMotorVehicle/561.wav,train
./DevSet/MovingMotorVehicle/078.wav,train
./DevSet/MovingMotorVehicle/140.wav,train
./DevSet/MovingMotorVehicle/352.wav,train
./DevSet/MovingMotorVehicle/143.wav,train
./DevSet/MovingMotorVehicle/558.wav,train
./DevSet/MovingMotorVehicle/620.wav,train
./DevSet/MovingMotorVehicle/349.wav,train
./DevSet/MovingMotorVehicle/411.wav,train
./DevSet/MovingMotorVehicle/623.wav,train
./DevSet/MovingMotorVehicle/202.wav,train
./DevSet/MovingMotorVehicle/414.wav,train
./DevSet/MovingMotorVehicle/626.wav,train
./DevSet/MovingMotorVehicle/095.wav,train
./DevSet/MovingMotorVehicle/205.wav,train
./DevSet/MovingMotorVehicle/581.wav,train
./DevSet/MovingMotorVehicle/417.wav,train
./DevSet/MovingMotorVehicle/098.wav,train
./DevSet/MovingMotorVehicle/160.wav,train
./DevSet/MovingMotorVehicle/372.wav,train
./DevSet/MovingMotorVehicle/208.wav,train
./DevSet/MovingMotorVehicle/163.wav,train
./DevSet/MovingMotorVehicle/578.wav,train
./DevSet/MovingMotorVehicle/640.wav,train
./DevSet/MovingMotorVehicle/369.wav,train
./DevSet/MovingMotorVehicle/431.wav,train
./DevSet/MovingMotorVehicle/166.wav,train
./DevSet/MovingMotorVehicle/643.wav,train
./DevSet/MovingMotorVehicle/222.wav,train
./DevSet/MovingMotorVehicle/434.wav,train
./DevSet/MovingMotorVehicle/646.wav,train
./DevSet/MovingMotorVehicle/013.wav,train
./DevSet/MovingMotorVehicle/225.wav,train
./DevSet/MovingMotorVehicle/437.wav,train
./DevSet/MovingMotorVehicle/180.wav,train
./DevSet/MovingMotorVehicle/016.wav,train
./DevSet/MovingMotorVehicle/392.wav,train
./DevSet/MovingMotorVehicle/228.wav,train
./DevSet/MovingMotorVehicle/502.wav,test
./DevSet/MovingMotorVehicle/183.wav,train
./DevSet/MovingMotorVehicle/019.wav,train
./DevSet/MovingMotorVehicle/598.wav,train
./DevSet/MovingMotorVehicle/395.wav,train
./DevSet/MovingMotorVehicle/389.wav,train
./DevSet/MovingMotorVehicle/186.wav,validation
./DevSet/MovingMotorVehicle/663.wav,train
./DevSet/MovingMotorVehicle/454.wav,train
./DevSet/MovingMotorVehicle/666.wav,train
./DevSet/MovingMotorVehicle/245.wav,validation
./DevSet/MovingMotorVehicle/457.wav,train
./DevSet/MovingMotorVehicle/669.wav,train
./DevSet/MovingMotorVehicle/036.wav,train
./DevSet/MovingMotorVehicle/248.wav,train
./DevSet/MovingMotorVehicle/310.wav,train
./DevSet/MovingMotorVehicle/522.wav,test
./DevSet/MovingMotorVehicle/039.wav,train
./DevSet/MovingMotorVehicle/101.wav,train
./DevSet/MovingMotorVehicle/313.wav,train
./DevSet/MovingMotorVehicle/104.wav,train
./DevSet/MovingMotorVehicle/519.wav,train
./DevSet/MovingMotorVehicle/474.wav,train
./DevSet/MovingMotorVehicle/265.wav,test
./DevSet/MovingMotorVehicle/062.wav,train
./DevSet/MovingMotorVehicle/477.wav,test
./DevSet/MovingMotorVehicle/056.wav,train
./DevSet/MovingMotorVehicle/268.wav,test
./DevSet/MovingMotorVehicle/330.wav,train
./DevSet/MovingMotorVehicle/542.wav,train
./DevSet/MovingMotorVehicle/059.wav,train
./DevSet/MovingMotorVehicle/121.wav,train
./DevSet/MovingMotorVehicle/333.wav,train
./DevSet/MovingMotorVehicle/124.wav,train
./DevSet/MovingMotorVehicle/539.wav,train
./DevSet/MovingMotorVehicle/601.wav,train
./DevSet/MovingMotorVehicle/494.wav,train
./DevSet/MovingMotorVehicle/291.wav,train
./DevSet/MovingMotorVehicle/127.wav,train
./DevSet/MovingMotorVehicle/604.wav,train
./DevSet/MovingMotorVehicle/285.wav,train
./DevSet/MovingMotorVehicle/082.wav,train
./DevSet/MovingMotorVehicle/497.wav,train
./DevSet/MovingMotorVehicle/607.wav,train
./DevSet/MovingMotorVehicle/076.wav,train
./DevSet/MovingMotorVehicle/288.wav,train
./DevSet/MovingMotorVehicle/350.wav,validation
./DevSet/MovingMotorVehicle/562.wav,train
./DevSet/MovingMotorVehicle/079.wav,train
./DevSet/MovingMotorVehicle/141.wav,validation
./DevSet/MovingMotorVehicle/353.wav,train
./DevSet/MovingMotorVehicle/565.wav,train
./DevSet/MovingMotorVehicle/144.wav,train
./DevSet/MovingMotorVehicle/559.wav,train
./DevSet/MovingMotorVehicle/356.wav,train
./DevSet/MovingMotorVehicle/147.wav,train
./DevSet/MovingMotorVehicle/624.wav,train
./DevSet/MovingMotorVehicle/415.wav,train
./DevSet/MovingMotorVehicle/627.wav,train
./DevSet/MovingMotorVehicle/370.wav,train
./DevSet/MovingMotorVehicle/206.wav,train
./DevSet/MovingMotorVehicle/582.wav,train
./DevSet/MovingMotorVehicle/418.wav,train
./DevSet/MovingMotorVehicle/099.wav,train
./DevSet/MovingMotorVehicle/161.wav,train
./DevSet/MovingMotorVehicle/373.wav,test
./DevSet/MovingMotorVehicle/209.wav,train
./DevSet/MovingMotorVehicle/585.wav,validation
./DevSet/MovingMotorVehicle/164.wav,train
./DevSet/MovingMotorVehicle/376.wav,train
./DevSet/MovingMotorVehicle/167.wav,train
./DevSet/MovingMotorVehicle/644.wav,train
./DevSet/MovingMotorVehicle/020.wav,train
./DevSet/MovingMotorVehicle/435.wav,train
./DevSet/MovingMotorVehicle/647.wav,train
./DevSet/MovingMotorVehicle/390.wav,validation
./DevSet/MovingMotorVehicle/226.wav,train
./DevSet/MovingMotorVehicle/023.wav,train
./DevSet/MovingMotorVehicle/438.wav,train
./DevSet/MovingMotorVehicle/500.wav,train
./DevSet/MovingMotorVehicle/181.wav,train
./DevSet/MovingMotorVehicle/017.wav,train
./DevSet/MovingMotorVehicle/393.wav,train
./DevSet/MovingMotorVehicle/229.wav,train
./DevSet/MovingMotorVehicle/503.wav,train
./DevSet/MovingMotorVehicle/184.wav,train
./DevSet/MovingMotorVehicle/396.wav,train
./DevSet/MovingMotorVehicle/670.wav,train
./DevSet/MovingMotorVehicle/187.wav,train
./DevSet/MovingMotorVehicle/664.wav,train
./DevSet/MovingMotorVehicle/399.wav,train
./DevSet/MovingMotorVehicle/461.wav,train
./DevSet/MovingMotorVehicle/040.wav,train
./DevSet/MovingMotorVehicle/455.wav,train
./DevSet/MovingMotorVehicle/252.wav,train
./DevSet/MovingMotorVehicle/667.wav,train
./DevSet/MovingMotorVehicle/246.wav,train
